source_display,target_code,target_display
"FISIONEMA CASEN-FLEET ENEMA 250 ML",A06AG,"Enemas"
"FLECAINIDA ACETAT 20 MG/ML SUSP ORAL 50 ML",C01BC04,"Flecainide"
"FLIXOTIDE 50 MCG/PULSACION AEROSOL 120 DOSIS",R03BA09,"Fluticasone furoate"
"FREEFLEX GLUCOSA 5%  50 X 100 ML BOLSA",B05BA03,"Carbohydrates"
"FUROSEMIDA 2 MG/ML SOL. ORAL 50 ML",C03CA01,"Furosemide"
"FUROSEMIDA GESFUR 20 MG 10 AMPOLLAS 2 ML",C03CA01,"Furosemide"
"FUROSEMIDA INIBSA 20 MG 100 AMPOLLAS 2 ML",C03CA01,"Furosemide"
"FUROSEMIDA PHYSAN 20 MG 50 AMPOLLAS 2 ML",C03CA01,"Furosemide"
"GENTA GOBENS 240 MG 50 VIAL 3 ML",J01GB03,"Gentamicin"
"GENTA GOBENS 40 MG 1 VIAL 2 ML",J01GB03,"Gentamicin"
"GENTA GOBENS 80 MG 100 VIALES 2 ML",J01GB03,"Gentamicin"
"GLUCOSADO BRAUN 10% 100 ML 20 ECOFLAC PLUS",B05BB02,"Electrolytes with carbohydrates"
"GLUCOSADO FRESENIUS KABI 10% 500 ML 20 FRASCOS",B05BB02,"Electrolytes with carbohydrates"
"GLUCOSADO SALINO 5% 0.9%  10 FRASCOS 500 ML",B05BB02,"Electrolytes with carbohydrates"
"GLUCOSALINA 3.3% 0.3% (1/3)  500 ML  10 FRAS",B05BB02,"Electrolytes with carbohydrates"
"GLUCOSALINO 1/5 12 FRAS 500 ML",B05BB02,"Electrolytes with carbohydrates"
"GLUTAFERRO 170 MG/ML (30 MG FE/ML)  1 FRASCO 25 ML",B03AA07,"Ferrous sulfate"
"GOBEMICINA 250 MG 100 VIALES 2 ML",J01CA01,"Ampicillin"
"HEMATIES",B05AX01,"Erythrocytes"
"HIDRAT DE CLORAL 100 MG/ML XAROP 50 ML",N05CC01,"Chloral hydrate"
"HIDROCLOROTIAZIDA SOL 2 MG/ML 50 ML FM",C03AA03,"Hydrochlorothiazide"
"HIDROCORTISONA 1 MG/ML SUSP ORAL 50 ML",H02AB09,"Hydrocortisone"
"HIDROPOLIVIT GOTAS 20 ML",A11B,"Multivitamins, plain"
"HIDROSALURETIL 50 MG 20 COMPRIMIDOS",C03AA03,"Hydrochlorothiazide"
"HYDRAPRES 20 MG 5 INYECTABLES 1 ML",C02DB02,"Hydralazine"
"IBUPROFENO (ARGININA) NORMON EFG 400 MG 30 SOBRES GRANULADO",M01AE01,"Ibuprofen"
"IBUPROFENO ALDO UNION 2% 100 MG/5 ML SUSPENSION ORAL 200 ML",M01AE01,"Ibuprofen"
"IBUPROFENO KERN PHARMA EFG 600 MG 20 SOBRES EFERVESCENTES",M01AE01,"Ibuprofen"
